ID,Title,IMDb,Age Category,d1,d2,d3,d4
1,Inception,8.8,13+,0,1,0,0
2,The Matrix,8.7,18+,0,0,0,1
3,Avengers: Infinity War,8.5,13+,0,1,0,0
4,Back to the Future,8.5,7+,1,0,0,0
5,"The Good, the Bad and the Ugly",8.8,18+,0,0,0,1
6,Spider-Man: Into the Spider-Verse,8.4,7+,1,0,0,0
7,The Pianist,8.5,18+,0,0,0,1
8,Django Unchained,8.4,18+,0,0,0,1
9,Raiders of the Lost Ark,8.4,7+,1,0,0,0
10,Inglourious Basterds,8.3,18+,0,0,0,1
11,Taxi Driver,8.3,18+,0,0,0,1
12,3 Idiots,8.4,13+,0,1,0,0
13,Pan's Labyrinth,8.2,18+,0,0,0,1
14,Room,8.1,18+,0,0,0,1
15,Monty Python and the Holy Grail,8.2,7+,1,0,0,0
16,Once Upon a Time in the West,8.5,13+,0,1,0,0
17,Indiana Jones and the Last Crusade,8.2,13+,0,1,0,0
18,Groundhog Day,8,7+,1,0,0,0
19,The King's Speech,8,18+,0,0,0,1
20,Her,8,18+,0,0,0,1
21,There Will Be Blood,8.2,18+,0,0,0,1
22,The Social Network,7.7,13+,0,1,0,0
23,Dallas Buyers Club,8,18+,0,0,0,1
24,The Perks of Being a Wallflower,8,13+,0,1,0,0
25,Life of Brian,8.1,18+,0,0,0,1
26,Ex Machina,7.7,18+,0,0,0,1
27,Silver Linings Playbook,7.7,18+,0,0,0,1
28,District 9,7.9,18+,0,0,0,1
29,The Irishman,7.9,18+,0,0,0,1
30,Moon,7.9,18+,0,0,0,1
31,Marriage Story,8,18+,0,0,0,1
32,Drive,7.8,18+,0,0,0,1
33,Incredibles 2,7.6,7+,1,0,0,0
34,Dangal,8.4,7+,1,0,0,0
35,Klaus,8.2,7+,1,0,0,0
36,Minority Report,7.6,13+,0,1,0,0
37,Mystic River,7.9,18+,0,0,0,1
38,Like Stars on Earth,8.4,7+,1,0,0,0
39,Ferris Bueller's Day Off,7.8,13+,0,1,0,0
40,Despicable Me,7.6,7+,1,0,0,0
41,Hell or High Water,7.6,18+,0,0,0,1
42,Sin City,8,18+,0,0,0,1
43,Ip Man,8,18+,0,0,0,1
44,Indiana Jones and the Temple of Doom,7.6,7+,1,0,0,0
45,The Theory of Everything,7.7,13+,0,1,0,0
46,The Pursuit of Happyness,8,13+,0,1,0,0
47,Senna,8.5,13+,0,1,0,0
48,Scott Pilgrim vs. the World,7.5,13+,0,1,0,0
49,Magnolia,8,18+,0,0,0,1
50,The Hateful Eight,7.8,18+,0,0,0,1
51,The Artist,7.9,13+,0,1,0,0
52,Moonlight,7.4,18+,0,0,0,1
53,Back to the Future Part II,7.8,7+,1,0,0,0
54,Willy Wonka & the Chocolate Factory,7.8,all,0,0,0,0
55,What's Eating Gilbert Grape,7.8,13+,0,1,0,0
56,The Curious Case of Benjamin Button,7.8,13+,0,1,0,0
57,Hugo,7.5,7+,1,0,0,0
58,Ant-Man and the Wasp,7.1,13+,0,1,0,0
59,As Good as It Gets,7.7,13+,0,1,0,0
60,Back to the Future Part III,7.4,7+,1,0,0,0
61,Searching for Sugar Man,8.2,13+,0,1,0,0
62,Road to Perdition,7.7,18+,0,0,0,1
63,To All the Boys I've Loved Before,7.2,13+,0,1,0,0
64,Molly's Game,7.4,18+,0,0,0,1
65,Blackfish,8.1,13+,0,1,0,0
66,El Camino: A Breaking Bad Movie,7.4,18+,0,0,0,1
67,The Invisible Guest,8.1,18+,0,0,0,1
68,Song of the Sea,8.1,7+,1,0,0,0
69,End of Watch,7.6,18+,0,0,0,1
70,The Evil Dead,7.5,18+,0,0,0,1
71,About Time,7.8,18+,0,0,0,1
72,Kung Fu Hustle,7.7,18+,0,0,0,1
73,Blue Is the Warmest Color,7.7,18+,0,0,0,1
74,Y Tu MamÃ¡ TambiÃ©n,7.6,18+,0,0,0,1
75,The Naked Gun: From the Files of Police Squad!,7.6,13+,0,1,0,0
76,Mud,7.4,13+,0,1,0,0
